plz;strasse;nummer;bezeichnung;schlüssel nr;bemerkung;zweck;lon;lat;image
8330;Wallikerstrasse;30;Wallikerstrasse 30;118;;Tiefgarage;8.7861718;47.3705009;Wallikerstrasse 30.jpg
8330;Weidstrasse;33;Weidstrasse 33;126;;Neubau Lindenbaum;8.7890921;47.3698735;Weidstrasse 33
8330;Weidstrasse;11;Weidstrasse 11;138;;;;;
8330;Weierholzstrasse;2;Pfadih. Weierholz;54;;;8.7923264;47.3710097;Weierholzstrasse 2.jpg
8330;Witzbergstrasse;23;Fab. Witzbergstr. 23;17;;Gewerbe;8.770523;47.369339;Witzbergstrasse 23.jpg
8330;Witzbergstrasse;3;Ott AG;60;;Gewerbe, im Metallpfosten;8.7740066;47.3706298;Witzbergstrasse 3.jpg
8330;Witzbergstrasse;1;Chickeria Witzberg;82;;Gewerbe;8.7741213;47.370865;Witzbergstrasse 1.jpg
8330;Zelglistrasse;7;Alterszentr. Sophie;28;;Haus Zelgli;8.7846764;47.367918;
8330;;;"Objekt 21 ""im Hüsler""";21;;Tiefgarage Rigistrasse 7.1?;;;
8330;;;Gem. Schanzweg 15;46;;?;;;
8330;;;Pfaffbergwiese;67;;Tiefgarage Hörnlistrasse 73.1?;;;
8330;;;Am See;73;;?;;;
